Name,Family
Bulbasaur,Bulbasaur
Ivysaur,Bulbasaur
Venusaur,Bulbasaur
Charmander,Charmander
Charmeleon,Charmander
Charizard,Charmander
Squirtle,Squirtle
Wartortle,Squirtle
Blastoise,Squirtle
Caterpie,Caterpie
Metapod,Caterpie
Butterfree,Caterpie
Weedle,Weedle
Kakuna,Weedle
Beedrill,Weedle
Pidgey,Pidgey
Pidgeotto,Pidgey
Pidgeot,Pidgey
Rattata,Rattata
Raticate,Rattata
Spearow,Spearow
Fearow,Spearow
Ekans,Ekans
Arbok,Ekans
Pikachu,Pikachu
Raichu,Pikachu
Pichu,Pikachu
Sandshrew,Sandshrew
Sandslash,Sandshrew
NidoranF,NidoranF
Nidorina,NidoranF
Nidoqueen,NidoranF
NidoranM,NidoranM
Nidorino,NidoranM
Nidoking,NidoranM
Clefairy,Clefairy
Clefable,Clefairy
Cleffa,Clefairy
Vulpix,Vulpix
Ninetales,Vulpix
Jigglypuff,Jigglypuff
Wigglytuff,Jigglypuff
Igglybuff,Jigglypuff
Zubat,Zubat
Golbat,Zubat
Crobat,Zubat
Oddish,Oddish
Gloom,Oddish
Vileplume,Oddish
Bellossom,Oddish
Paras,Paras
Parasect,Paras
Venonat,Venonat
Venomoth,Venonat
Diglett,Diglett
Dugtrio,Diglett
Meowth,Meowth
Persian,Meowth
Psyduck,Psyduck
Golduck,Psyduck
Mankey,Mankey
Primeape,Mankey
Growlithe,Growlithe
Arcanine,Growlithe
Poliwag,Poliwag
Poliwhirl,Poliwag
Poliwrath,Poliwag
Politoed,Poliwag
Abra,Abra
Kadabra,Abra
Alakazam,Abra
Machop,Machop
Machoke,Machop
Machamp,Machop
Bellsprout,Bellsprout
Weepinbell,Bellsprout
Victreebel,Bellsprout
Tentacool,Tentacool
Tentacruel,Tentacool
Geodude,Geodude
Graveler,Geodude
Golem,Geodude
Ponyta,Ponyta
Rapidash,Ponyta
Slowpoke,Slowpoke
Slowbro,Slowpoke
Slowking,Slowpoke
